Account ID Full,Account Name,Legal Name (BvD),Country,Region,Reporting Group,Ultimate Parent,Account Owner,Parent Account
0013X00003wEVpsQAG,Accenture Colombia,,Colombia,AMER,Accenture,,Nicole Gallant,Accenture (GLOBAL)
0010O00002OmlWNQAZ,Accenture Hong Kong,,Hong Kong,APAC,Accenture,,Niraj Marfatia,Accenture (GLOBAL)
001Ab000002rOMpIAM,Accenture India,,India,APAC,Accenture,,Niraj Marfatia,Accenture (GLOBAL)
0013X00003UmKT1QAN,Accenture Italy,,Italy,EMEA,Accenture,,Richard Coveney,Accenture (GLOBAL)
001SZ00000ZfbluYAB,Accenture Japan,,Japan,APAC,Accenture,,Yuan Emma Li,Accenture (GLOBAL)
001SZ00000MSBQcYAP,Accenture Malaysia,,Malaysia,APAC,Accenture,,Niraj Marfatia,Accenture (GLOBAL)
001Ab000002W2qSIAS,Accenture Mexico,,Mexico,AMER,Accenture,,Nicole Gallant,Accenture (GLOBAL)
0013X00002UMw96QAD,Accenture Singapore,,Singapore,APAC,Accenture,,Niraj Marfatia,Accenture (GLOBAL)
0013X00003OGmnuQAD,Access Bank,Access Bank Plc,Nigeria,EMEA,Access Bank,ACCESS BANK PLC,Fenergo RevOps,
001SZ0000061MXhYAM,Acciona,Acciona SA,Spain,EMEA,Acciona,ACCIONA SA,Fenergo RevOps,
001SZ00000AcxSnYAJ,Accuro,Accuro Trust (Switzerland) SA,Switzerland,EMEA,Accuro,Accuro Trust (Switzerland) SA,David Warnock,
001SZ00000N9nE4YAJ,ACE Alternatives,ACE Alternatives GmbH,Germany,EMEA,ACE Alternatives,ACE Alternatives GmbH,David Warnock,
001Ab000002rNU8IAM,ACE Money Transfer,ACE Money Transfer Limited,United Kingdom,EMEA,ACE Money Transfer,ACE MONEY TRANSFER LIMITED,Fenergo RevOps,
001Ab000002rNVlIAM,Ace Union,ACE Union Limited,United Kingdom,EMEA,Ace Union,AFTAB CURRENCY EXCHANGE LIMITED,Fenergo RevOps,
001SZ000007CDLzYAO,"ACERINOX,S.A.",Acerinox SA,Spain,EMEA,ACERINOX,ACERINOX SA,Fenergo RevOps,
001Ab000002rOtdIAE,Achmea,Vereniging Achmea,Netherlands,EMEA,Achmea,VERENIGING ACHMEA,Karthik Gurumoorthy,
001SZ00000HLxg1YAD,ACI Worldwide,"ACI Worldwide, Inc.",United States,AMER,ACI Worldwide,"ACI WORLDWIDE, INC.",Fenergo RevOps,
001Ab000003j3C4IAI,ACM (Assurances du Crédit Mutuel),Groupe des Assurances Credit Mutuel SA,France,EMEA,Credit Mutuel,CAISSE FEDERALE DE CREDIT MUTUEL,Fenergo RevOps,Crédit Mutuel Asset Management
001Ab000002rNLNIA2,AcomeA SGR S.p.A.,Acomea Societa' DI Gestione DEL Risparmio S.P.A.,Italy,EMEA,AcomeA SGR,Acomea Societa' DI Gestione DEL Risparmio S.P.A.,Fenergo RevOps,
0012000001WUV3zAAH,Acorn Life,Acorn Life DAC,Ireland,EMEA,Acorn Life,ACORN LIFE GROUP LIMITED,Fenergo RevOps,
001Ab000002xRqRIAU,Acorns,Acorns,United States,AMER,Acorns,Acorns,Fenergo RevOps,
001Ab000002rOADIA2,Acquired.com,Acquired,United Kingdom,EMEA,Acquired.com,Acquired,Fenergo RevOps,
001SZ00000NfuXNYAZ,ACR Alpine Capital Research,"ACR Alpine Capital Research, LLC",United States,AMER,ACR Alpine Capital,ACR ALPINE CAPITAL RESEARCH LP,Fenergo RevOps,
001SZ0000077F4oYAE,ACT Group,ACT Commodities B.V.,Netherlands,EMEA,ACT Group,SUSTAINABLE MARKET SOLUTIONS HOLDING B.V.,Michel Van Ussel,
001SZ000009xphIYAQ,Actis,Actis LLP,United Kingdom,EMEA,Actis,GENERAL ATLANTIC PARTNER LP,Fenergo RevOps,
001Ab000002rNJvIAM,ActivoBank,Banco ActivoBank SA,Portugal,EMEA,Millennium bcp (BCP),"BANCO COMERCIAL PORTUGUÊS, SA",Fenergo RevOps,BANCO COMERCIAL PORTUGUES S.A.
001Ab000002rNidIAE,Activotrade,Activotrade Valores Sociedad de Valores S.A.,Spain,EMEA,Activotrade,TRADE CAPITAL HOLDING LTD,Fenergo RevOps,
001SZ00000JSMsIYAX,ActivTrades CCTVM,"Activtrades Corretora de Cambio, Titulos E Valores Mobiliarios Ltda",Brazil,AMER,ActivTrades,"Activtrades Corretora de Cambio, Titulos E Valores Mobiliarios Ltda",Fenergo RevOps,
001SZ000008uORhYAM,Adage Capital Management,Adage Capital Management LP,United States,AMER,Adage Capital,ADAGE CAPITAL ADVISORS LLC,Fenergo RevOps,
0012000001WUV2qAAH,Adam & Co. PLC,The Royal Bank of Scotland plc,United Kingdom,EMEA,Adam & Co. PLC,NATWEST GROUP PLC,Fenergo RevOps,Natwest Group
0010O000023gvjVQAQ,Adams Street Partners,"Adams Street Partners, Inc.",United States,AMER,Adams Street Partners,ADAMS STREET ASSOCIATES LP,Fenergo RevOps,
0010O00002M1F9vQAF,ADCorp,Fursa Business Holding LTD,United Arab Emirates,EMEA,ADCorp,Fursa Business Holding LTD,Sean Moore,
001SZ00000NcY6fYAF,Addenda Capital,Addenda Capital INC,Canada,AMER,Addenda Capital,CO-OPERATORS GROUP LTD,Fenergo RevOps,
001Ab000002viCzIAI,ADDI,,Colombia,AMER,ADDI,ADDI,Fenergo RevOps,
001Ab000002rP1kIAE,Addiko Bank AG,Addiko Bank AG,Austria,EMEA,Addiko Bank,ADDIKO BANK AG,Fenergo RevOps,
001Ab0000036TgrIAE,Addition Financial CU,"Addition Financial Foundation, Inc.",United States,AMER,Addition Financial CU,"Addition Financial Foundation, Inc.",Fenergo RevOps,
001Ab000002rOk1IAE,Addx,Addx Pte. Ltd.,Singapore,APAC,ICHX Tech,ICHX TECH PTE. LTD.,Fenergo RevOps,
001Ab000003VdzxIAC,Adepa,Adepa Global Services Group S.a r.l.,Luxembourg,EMEA,Adepa,ADEPA GLOBAL SERVICES S.A.,David Warnock,
0012000001h7r7lAAA,ADFG,,United Arab Emirates,EMEA,ADFG,ADFG,Sean Moore,
0012000001WUVmPAAX,ADIA,ABU Dhabi Investment Authority,United Arab Emirates,EMEA,Abu Dhabi Investment Authority,GOVERNMENT OF ABU DHABI,Fenergo RevOps,
0012000001WUUbDAAX,Adm Investor Services International Ltd,ADM Investor Services International Limited,United Kingdom,EMEA,Archer Daniels Midland (ADM),ARCHER-DANIELS-MIDLAND COMPANY,Fenergo RevOps,Archer Daniels Midland (ADM)
001SZ00000NnlGfYAJ,Admiral Insurance,EUI Limited,United Kingdom,EMEA,Admiral Insurance,ADMIRAL GROUP PLC,Bianca Mawee-Patel,
001Ab000002rO5BIAU,ADMIRAL Pay,Admiral PAY Istituto DI Pagamento - Societa' A Responsabilita' Limitata Abbreviabile IN Admiral PAY IP S.R.L.,Italy,EMEA,JFG Privatstiftung,JFG PRIVATSTIFTUNG,Fenergo RevOps,
001Ab000002vWSgIAM,ADNEC Group,ABU Dhabi National Exhibitions Company (Adnec) - Pjsc,United Arab Emirates,EMEA,ADNEC Group,MODON HOLDING PSC,Fenergo RevOps,
001SZ000008KLZyYAO,Adnoc HQ,ABU Dhabi National OIL Company (Adnoc) Pjsc,United Arab Emirates,EMEA,ADNOC,GOVERNMENT OF ABU DHABI,Fenergo RevOps,
001Ab000003Vz93IAC,ADQ,ABU Dhabi Developmental Holding Company P.J.S.C. (ADQ),United Arab Emirates,EMEA,ADQ,ABU Dhabi Developmental Holding Company P.J.S.C. (ADQ),Fenergo RevOps,
0010O000023gwYAQAY,Adrian Lee & Partners,LEE Overlay Partners Limited,Ireland,EMEA,Adrian Lee & Partners,ADRIAN LEE SERVICES LIMITED,Fenergo RevOps,
0012000001WUVuuAAH,ADS Securities,ADS Securities - LLC,United Arab Emirates,EMEA,ADS Securities,ADS HOLDING LLC,Fenergo RevOps,
001Ab000003jlxrIAA,Aduro Advisors,"Aduro Advisors, LLC",United States,AMER,Aduro Advisors,"ADURO ADVISORS, LLC",David Warnock,
001Ab000002viBcIAI,Advanced Cash,Advanced Cash Limited,Belize,AMER,Advanced Cash,Advanced Cash Limited,Fenergo RevOps,
001Ab000003NDwzIAG,Advanced Markets UAE,,United Arab Emirates,EMEA,Advanced Markets,Advanced Markets UAE,Fenergo RevOps,
0012000001aDVfCAAW,Advantage International Management (Cayman) Ltd,Advantage Property & Casualty Company SPC,Cayman Islands,AMER,Advantage International Management,Advantage Property & Casualty Company SPC,Fenergo RevOps,
001Ab000002rPH1IAM,Advanzia Bank S.A.,Advanzia Bank SA,Luxembourg,EMEA,Advanzia Bank,ADVANZIA BANK S.A.,Fenergo RevOps,
001SZ00000vc2pZYAQ,Advent International,Advent International Corporation,United States,AMER,Advent International,Advent International Corporation,Jack Turner,
001SZ00000Nfs4AYAR,AdventHealth,Adventhealth,United States,AMER,AdventHealth,ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORPORATION,Fenergo RevOps,
0012000001WUUePAAX,Adveq Management AG,Schroders Capital Management (Switzerland) AG,Switzerland,EMEA,Adveq Managemen,SCHRODERS PLC,Roger Leahy,Schroders
0013X00003FC6RXQA1,Advisor Group,"Osaic Advisory Services, LLC",United States,AMER,Advisor Group,"Osaic Advisory Services, LLC",Mick Furlong,
001Ab000002hKOiIAM,Adyen,Adyen N.V,Netherlands,EMEA,Adyen,ADYEN N.V,Karthik Gurumoorthy,
001Ab000002rMtRIAU,Aegean Baltic Bank,Aegean Baltic Bank,Greece,EMEA,Aegean Baltic Bank,MIRNUS LIMITED,Fenergo RevOps,
0013X00003J1joGQAR,Aegon - AM,AEGON Nederland N.V.,Netherlands,EMEA,Aegon,AEGON LTD.,Karthik Gurumoorthy,
001SZ00000RDfPBYA1,Aegon UK,Aegon UK PLC,United Kingdom,EMEA,Aegon,AEGON LTD.,Bianca Mawee-Patel,Aegon - AM
0012000001WUUZWAA5,"Aegon USA Investment Management, LLC","Aegon USA Investment Management, LLC",United States,AMER,Aegon,AEGON LTD.,Gregory Fleming,Aegon - AM
001Ab000003j4hgIAA,Aéma groupe,Aema Groupe,France,EMEA,Aéma Groupe,AÉMA GROUPE,Fenergo RevOps,
0013X00003xoe9bQAA,Aeolus Capital Management Ltd.,Aeolus Capital Management Ltd,Bermuda,AMER,Aeolus Capital Management,AEOLUS CAPITAL MANAGEMENT LTD,Fenergo RevOps,
0013X00003pEnO0QAK,Aeon Bank,Aeon Bank (M) Berhad,Malaysia,APAC,Aeon Bank,AEON FINANCIAL SERVICE CO LTD,Yuan Emma Li,
001Ab000002rNMmIAM,AEON Payment Technologies Ltd,Aeon Payment Technologies Limited,Cyprus,EMEA,AEON Payment Technologies,AEON PAYMENT TECHNOLOGIES LIMITED,Fenergo RevOps,
001SZ00000LK7UHYA1,Aeropay,Aero Payments LLC,United States,AMER,Aeropay,AERO PAYMENTS LLC,Fenergo RevOps,
001SZ000007T4Z1YAK,AES Corporation,THE AES Corporation,United States,AMER,AES Corporation,THE AES CORPORATION,Fenergo RevOps,
001Ab000002rNkkIAE,AÉSIO,AESIO Mutuelle,France,EMEA,Aéma Groupe,AÉMA GROUPE,Fenergo RevOps,Aéma groupe
001SZ00000Mqmn3YAB,"Aether Holdings, Inc.","Nexcen Brands, Inc.",United States,AMER,Aether Holdings,"Nexcen Brands, Inc.",Fenergo RevOps,
001Ab000002xRniIAE,Aetna Inc.,Aetna Inc.,United States,AMER,CVS Health,CVS HEALTH CORPORATION,Fenergo RevOps,CVS Health
001Ab000003jaN3IAI,AEW Capital Management Europe,AEW Europe,France,EMEA,BPCE,BPCE SA,Fenergo RevOps,BPCE Group
0010O000023gvt6QAA,AEW Capital Management US,"AEW Capital Management, L.P. (Limited Partnership)",United States,AMER,BPCE,BPCE SA,Fenergo RevOps,BPCE Group
0010O00001uGYAlQAO,AFEX,Afex Commodities Exchange Limited,Nigeria,EMEA,AFEX,Afex Commodities Exchange Limited,Fenergo RevOps,
0010O000023goedQAA,Affiliated Managers Group,"Affiliated Managers Group, Inc.",United States,AMER,AMG (Affiliated Managers Group),"AFFILIATED MANAGERS GROUP, INC.",Fenergo RevOps,
0013X00003UlEqMQAV,Affin Bank Berhad,Affin Bank Berhad,Malaysia,APAC,Affin Bank,AFFIN BANK BERHAD,Laurent Lamarlere,
001SZ00000GBnyfYAD,Affinipay,Affinipay Holdings LLC,United States,AMER,Affinipay,AFFINIPAY HOLDINGS LLC,Fenergo RevOps,
001Ab000002rOnAIAU,Affirm,Affirm Inc.,United States,AMER,Affirm,"AFFIRM HOLDINGS, INC.",Fenergo RevOps,
001Ab000002xRnmIAE,AFLAC Incorporated,Aflac Inc.,United States,AMER,AFLAC,AFLAC INC.,Fenergo RevOps,
001Ab000002viC5IAI,Aforti (EPMAP LTD),Epmap Limited,Cyprus,EMEA,Aforti,EPMAP LIMITED,Fenergo RevOps,
001Ab000002rNRmIAM,Africa Rapidtransfer SA (Ecobank),Africa Rapidtransfer SA,France,EMEA,Ecobank,Africa Rapidtransfer SA,Fenergo RevOps,
001Ab000003PswtIAC,AG Insurance (AGEAS),AG Insurance SA-NV,Belgium,EMEA,Ageas,AGEAS SA-NV,Michel Van Ussel,
001Ab000003j4W0IAI,AG2R La Mondiale,Ag2r LA Mondiale Solutions,France,EMEA,AG2R La Mondiale,SGAM AG2R LA MONDIALE,Fenergo RevOps,
001SZ00000BaJsEYAV,AGC Partners,AGC Partners,United States,AMER,AGC Partners,AGC Partners,Fenergo RevOps,
001Ab000002rNAPIA2,Ageas Seguros,Ageas Portugal - Companhia de Seguros SA,Portugal,EMEA,Ageas,AGEAS SA-NV,Fenergo RevOps,
001SZ000007xy7NYAQ,Agence Française de Développement (AFD),Agence Francaise de Developpement,France,EMEA,Agence Francaise de Developpement,GOVERNMENT OF FRANCE,Stephen Florence,
001Ab000003f2lUIAQ,Agence France Locale,Agence France Locale,France,EMEA,Agence France Locale,AGENCE FRANCE LOCALE - SOCIÉTÉ TERRITORIALE,Fenergo RevOps,
001SZ000008uORKYA2,AGF,AGF International Advisors Company Limited,Ireland,EMEA,AGF,AGF International Advisors Company Limited,Fenergo RevOps,
001SZ000007CDLsYAO,Agnico Eagle Mines Limited,Agnico-Eagle Mines Ltd.,Canada,AMER,Agnico Eagle Mines,AGNICO-EAGLE MINES LTD.,Rob Henley,
001Ab000002rNkXIAU,Agos Ducato (B2C),Agos Ducato SpA,Italy,EMEA,Agos Ducato,SAS RUE LA BOETIE,Fenergo RevOps,Credit Agricole
0013X00003VR0JBQA1,Agricultural and Rural Development Bank (ARDB),Agricultural and Rural Development Bank,Cambodia,APAC,ARDB,Agricultural and Rural Development Bank,Fenergo RevOps,
0012000001Zfzq0AAB,Agricultural Bank of China - Beijing HQ,Agricultural Bank of China Limited,China,APAC,Agricultural Bank of China,GOVERNMENT OF CHINA,Fenergo RevOps,
0010O00002Jk3LFQAZ,Agricultural Bank of China - Singapore Branch,Agricultural Bank of China Limited,Singapore,APAC,Agricultural Bank of China,GOVERNMENT OF CHINA,Laurent Lamarlere,Agricultural Bank of China - Beijing HQ
0013X00002PHMZ8QAP,AGRICULTURAL BANK OF CHINA LIMITED - HK Branch,Agricultural Bank Of China Limited Hong Kong Branch,Hong Kong,APAC,Agricultural Bank of China,GOVERNMENT OF CHINA,Fenergo RevOps,Agricultural Bank of China - Beijing HQ
001Ab000002xTPWIA2,Agricultural Bank of Taiwan,Agricultural Bank of Taiwan,Taiwan,APAC,Agricultural Bank of Taiwan,AGRICULTURAL BANK OF TAIWAN,Fenergo RevOps,
001Ab000002xRngIAE,Agrobank,Bank Pertanian Malaysia Berhad,Malaysia,APAC,Bank Pertanian Malaysia,GOVERNMENT OF MALAYSIA,Fenergo RevOps,
001Ab000002rOEVIA2,Agrogarante -Sociedade De Garantia Mútua S.A.,"Agrogarante - Sociedade de Garantia Mutua, S.A.",Portugal,EMEA,Agrogarante,"Agrogarante - Sociedade de Garantia Mutua, S.A.",Fenergo RevOps,
0010O000020ENeZQAW,AGTB,Vision Bank Limited,United Arab Emirates,EMEA,AGTB,GULF ISLAMIC INVESTMENTS LLC,Sean Moore,
0013X0000313ZmaQAE,AHAM Asset Management Berhad,Aham Asset Management Berhad,Malaysia,APAC,CVC Capital Partners,CVC CAPITAL PARTNERS PLC,Laurent Lamarlere,CVC Capital Partners
001SZ00000CzaFrYAJ,Ahl Pay,,Turkey,EMEA,Ahl Pay,Ahl Pay,Fenergo RevOps,
0013X00003hbbUvQAI,Ahli Bank Qatar,Ahli Bank (Q.P.S.C),Qatar,EMEA,Ahli Bank Qatar,AHLI BANK (Q.P.S.C),Fenergo RevOps,
0012000001WUVvAAAX,Ahli United Bank,Ahli United Bank BSC,Bahrain,EMEA,Kuwait Finance House,KUWAIT FINANCE HOUSE,Ian McLoughlin,Kuwait Finance House
001Ab000002xRKYIA2,AIB,Allied Irish Banks plc,Ireland,EMEA,AIB,AIB GROUP PUBLIC LIMITED COMPANY,Aoife Doyle,
001Ab000002rNNxIAM,AIB Merchant Services,First Merchant Processing (Ireland) Designated Activity Company,Ireland,EMEA,Fiserv,"FISERV, INC.",Fenergo RevOps,"Fiserv, Inc."
001Ab000002rNebIAE,AideXa,Banca Aidexa S.P.A. O Aidexa S.P.A.,Italy,EMEA,AideXa,AIDEXA HOLDING S.P.A.,Fenergo RevOps,
0013X00003UltFdQAJ,AIG General Insurance Co Ltd,AIG American General Life Insurance CO,United States,AMER,AIG,AMERICAN INTERNATIONAL GROUP INC.,Fenergo RevOps,American International Group (AIG)
001Ab000002rNrQIAU,AIG Life Ltd,AIG Life Ltd,United Kingdom,EMEA,Aviva,AVIVA PLC,Fenergo RevOps,Aviva
001Ab000002xRKJIA2,AIG UK,"American International Group, Inc.",United Kingdom,EMEA,AIG,AMERICAN INTERNATIONAL GROUP INC.,Bianca Mawee-Patel,American International Group (AIG)
